obra_id,nombre_obra,rubro_id,rubro_nombre,total_materiales,qty_compras,total_mano_obra,qty_pagos,total_rubro,ranking_en_obra
APAMAP - APAMAP REMODELACION - 25/04/2025,APAMAP REMODELACION,GG,GASTOS GENERALES,2403262.0,25,0.0,0,2403262.0,10
APAMAP - APAMAP REMODELACION - 25/04/2025,,VENTANA,,0.0,0,2000000.0,1,2000000.0,11
APAMAP - APAMAP REMODELACION - 25/04/2025,APAMAP REMODELACION,HERR,HERRERIA,901934.0,2,0.0,0,901934.0,12
APAMAP - APAMAP REMODELACION - 25/04/2025,,GRANITO,,0.0,0,720000.0,1,720000.0,13
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CASA DEL ARQ,PIN,PINTURA,6095352.0,17,7200000.0,6,13295352.0,1
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CASA DEL ARQ,ELEC,ELECTRICIDAD,8159000.0,10,4080000.0,4,12239000.0,2
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CASA DEL ARQ,GG,GASTOS GENERALES,10391471.0,25,0.0,0,10391471.0,3
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CASA DEL ARQ,PISO,PISO,5810100.0,3,1000000.0,2,6810100.0,4
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,,MARM,,0.0,0,3600000.0,2,3600000.0,5
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,,HERR,,0.0,0,2650000.0,6,2650000.0,6
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CASA DEL ARQ,ALB,ALBAÑILERIA,517000.0,6,2100000.0,4,2617000.0,7
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CASA DEL ARQ,PLOM,PLOMERIA,83500.0,1,1800000.0,2,1883500.0,8
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CASA DEL ARQ,CARP,,1047000.0,2,0.0,0,1047000.0,9
ARQ SANCHEZ - CASA HIJA ARQ - 01/01/2026,,ALB,,0.0,0,1000000.0,1,1000000.0,1
ARQ SANCHEZ - CASA HIJA ARQ - 01/01/2026,,PLOM,,0.0,0,500000.0,1,500000.0,2
ARQ SANCHEZ - CASA HIJA ARQ - 01/01/2026,,VENTANA,,0.0,0,250000.0,1,250000.0,3
ARQ SANCHEZ - DEPOSITO EN CARPINTERIA - 01/11/2025,,ADM,,0.0,0,1400000.0,3,1400000.0,1
ARQ SANCHEZ - OFICINA - 07/01/2024,OFICINA,OFICINA,,167548354.0,130,418670000.0,217,586218354.0,1
ARQ SANCHEZ - OFICINA - 07/01/2024,OFICINA,GG,GASTOS GENERALES,5956500.0,12,0.0,0,5956500.0,2
AUTOTECNIA - AREGLO CAÑERIA - 21/02/2026,,PLOM,,0.0,0,1870000.0,5,1870000.0,1
AUTOTECNIA - AREGLO CAÑERIA - 21/02/2026,AREGLO CAÑERIA,GG,GASTOS GENERALES,380000.0,1,0.0,0,380000.0,2
AUTOTECNIA - ARREGLO DE CANILLA Y CAÑO - AUTOTECNIA - 05/04/2025,ARREGLO DE CANILLA Y CAÑO - AUTOTECNIA,PLOM,PLOMERIA,2870000.0,3,950000.0,2,3820000.0,1
AUTOTECNIA - ARREGLOS VARIOS - 20/09/2025,,PLOM,,0.0,0,550000.0,1,550000.0,1
AUTOTECNIA - AUTOTECNIA - 16/12/2024,AUTOTECNIA,PIN,PINTURA,15064448.0,49,6876151.0,3,21940599.0,1
AUTOTECNIA - AUTOTECNIA - 16/12/2024,,ALB,,0.0,0,3250000.0,4,3250000.0,2
AUTOTECNIA - AUTOTECNIA - 16/12/2024,,CARP,,0.0,0,2365000.0,1,2365000.0,3
AUTOTECNIA - AUTOTECNIA - 16/12/2024,,PLOM,,0.0,0,250000.0,1,250000.0,4
AUTOTECNIA - CAÑERIA P/DUCHA HIGIENICA - AUTOTECNICA - 01/11/2025,,PLOM,,0.0,0,300000.0,1,300000.0,1
AUTOTECNIA - COLOCACION DE TANQUES - 15/07/2025,COLOCACION DE TANQUES,PLOM,PLOMERIA,2086740.0,3,3100000.0,3,5186740.0,1
AUTOTECNIA - D1 TECHO - 17/01/2026,,TECHO,,0.0,0,9500000.0,3,9500000.0,1
AUTOTECNIA - D1 TECHO - 17/01/2026,D1 TECHO,TECHO VARIOS,,2526500.0,12,0.0,0,2526500.0,2
AUTOTECNIA - D1 TECHO - 17/01/2026,D1 TECHO,ALB,ALBAÑILERIA,800000.0,1,0.0,0,800000.0,3
AUTOTECNIA - D2 REPINTADO - 10/01/2026,D2 REPINTADO,PIN,PINTURA,4728222.0,5,15834000.0,4,20562222.0,1
AUTOTECNIA - MESADA AUTOTECNIA - 30/08/2025,,MARM,,0.0,0,930000.0,1,930000.0,1
AUTOTECNIA - REPARACION DE BACHA - 04/10/2025,,PLOM,,0.0,0,500000.0,1,500000.0,1
