proveedor_id,qty_compras,qty_obras,total_comprado,promedio_compra,primera_compra,ultima_compra,pct_del_total,pct_acumulado,clasificacion_pareto,ranking
PROVEEDOR 222,1,1,100000.0,100000.0,2025-09-19,2025-09-19,0.0,99.96,C (5%),279
PROVEEDOR 335,1,1,100000.0,100000.0,2026-01-15,2026-01-15,0.0,99.96,C (5%),279
PROVEEDOR 139,1,1,100000.0,100000.0,2025-05-19,2025-05-19,0.0,99.96,C (5%),279
PROVEEDOR 137,1,1,100000.0,100000.0,2025-09-12,2025-09-12,0.0,99.96,C (5%),279
PROVEEDOR 127,1,1,100000.0,100000.0,2025-10-25,2025-10-25,0.0,99.96,C (5%),279
PROVEEDOR 207,1,1,100000.0,100000.0,2025-02-25,2025-02-25,0.0,99.96,C (5%),279
PROVEEDOR 344,1,1,100000.0,100000.0,2026-02-12,2026-02-12,0.0,99.96,C (5%),279
PROVEEDOR 174,1,1,100000.0,100000.0,2025-07-21,2025-07-21,0.0,99.96,C (5%),279
PROVEEDOR 78,1,1,94769.0,94769.0,2025-09-16,2025-09-16,0.0,99.96,C (5%),290
PROVEEDOR 35,1,1,90000.0,90000.0,2025-09-11,2025-09-11,0.0,99.96,C (5%),291
PROVEEDOR 121,1,1,90000.0,90000.0,2025-05-14,2025-05-14,0.0,99.96,C (5%),291
PROVEEDOR 79,1,1,88000.0,88000.0,2024-12-11,2024-12-11,0.0,99.96,C (5%),293
PROVEEDOR 269,1,1,86000.0,86000.0,2025-09-13,2025-09-13,0.0,99.96,C (5%),294
PROVEEDOR 195,1,1,85000.0,85000.0,2025-05-26,2025-05-26,0.0,99.96,C (5%),295
PROVEEDOR 311,1,1,81000.0,81000.0,2024-07-03,2024-07-03,0.0,99.97,C (5%),296
PROVEEDOR 334,1,1,80000.0,80000.0,2026-01-16,2026-01-16,0.0,99.97,C (5%),297
CEMENTOS PARAGUAYOS,1,1,80000.0,80000.0,2025-04-09,2025-04-09,0.0,99.97,C (5%),297
CERAMICAS PARAGUAY,1,1,80000.0,80000.0,2025-02-20,2025-02-20,0.0,99.97,C (5%),297
PROVEEDOR 291,1,1,80000.0,80000.0,2025-08-24,2025-08-24,0.0,99.97,C (5%),297
PROVEEDOR 132,1,1,80000.0,80000.0,2024-10-05,2024-10-05,0.0,99.97,C (5%),297
PROVEEDOR 203,2,2,76000.0,38000.0,2025-02-04,2025-09-25,0.0,99.97,C (5%),302
PROVEEDOR 112,1,1,75000.0,75000.0,2024-11-21,2024-11-21,0.0,99.97,C (5%),303
PROVEEDOR 261,1,1,73000.0,73000.0,2025-08-27,2025-08-27,0.0,99.97,C (5%),304
PROVEEDOR 101,1,1,70000.0,70000.0,2025-09-23,2025-09-23,0.0,99.97,C (5%),305
PROVEEDOR 67,1,1,65050.0,65050.0,2024-11-14,2024-11-14,0.0,99.98,C (5%),306
PROVEEDOR 123,1,1,64000.0,64000.0,2024-08-31,2024-08-31,0.0,99.98,C (5%),307
PROVEEDOR 258,1,1,60000.0,60000.0,2025-01-11,2025-01-11,0.0,99.98,C (5%),308
PROVEEDOR 185,1,1,60000.0,60000.0,2024-07-05,2024-07-05,0.0,99.98,C (5%),308
